"","SN","TN","CN","tgtsize","hand_theta","hand_theta_maxv","hand_theta_maxradv","handMaxRadExt","hand_theta_50","raw_ep_hand_ang","ti","fbi","ri","MT","RT","ST","radvelmax","maxRadDist","testMaxRadDist"
"153",1,57,12,8.30174059827877,-77.0916901271331,-72.3210639044858,-77.0916901271331,-76.4917579053161,173.024286382289,132.908309872867,210,0,75,0.0920014640000204,0.542742813999951,1.32633016200026,1907.18265144709,84.8377206819428,84.8377206819428
"154",1,58,12,8.30174059827877,-91.2750769611065,-90.7151176256102,-91.2750769611066,NA,-85.7131208432742,148.724923038893,240,0,75,0.094864513999994,0.529948612999988,0.96877561000008,547.662810007833,NA,69.8999163464117
"155",1,59,12,8.30174059827877,-85.8791790267377,-116.679819923753,-85.8791790267377,-85.74380273604,-153.523923097056,34.1208209732623,120,0,75,0.0868765670000471,0.450168302999941,1.11586286500011,5603.66106581312,98.59764340851,98.59764340851
"156",1,60,12,8.30174059827877,-64.8142194143488,-64.8142194143488,-64.8142194143488,NA,NA,-64.8142194143488,0,0,75,0.113223194000057,0.550259497999946,2.02358533899957,1639.40235150842,NA,114.117058745411
"157",1,1,1,8.30174059827877,-67.2461676738617,-65.8608733494374,-147.161391115186,-67.2461676738617,-152.381892559411,112.753832326138,180,0,75,0.121451197999995,0.529835872000021,43.709685198,1175.07687094734,94.1864730192655,94.1864730192655
"158",1,2,1,8.30174059827877,-74.380073951588,-71.2135172187883,-74.380073951588,-70.4600467660899,-52.240183581347,-134.380073951588,300,0,75,0.0778279160000039,0.41867818299999,1.522545584,3472.68007213895,118.209772373102,118.209772373102
"159",1,3,1,8.30174059827877,-91.7725025787869,-79.7130715324918,-91.7725025787869,NA,5.8547455491979,58.2274974212131,150,0,75,0.0777292249999988,0.409735657999988,1.44340583199999,1531.02693981708,NA,70.6195116922447
"160",1,4,1,8.30174059827877,-67.7058067183017,-59.2057068059985,-67.7058067183017,-59.5561874059937,-60.9080633208977,22.2941932816982,90,0,75,0.115206485000009,0.441613329999988,1.13320478600001,5571.90359922345,105.769551300342,105.769551300342
"161",1,5,1,8.30174059827877,-80.0335089594467,-74.9557357571213,-80.0335089594467,-79.244815644003,-55.6870543473245,39.9664910405533,120,0,75,0.0881378690000076,0.628237057999982,1.228891511,4258.39626968379,87.7857688688482,87.7857688688482
"162",1,6,2,8.30174059827877,-73.4110790732835,-83.9150928014601,-92.3053639077818,NA,-49.8468828615256,-43.4110790732835,30,0,75,0.172722687999993,0.456818101999986,1.04451154899999,-9.04531900211616,NA,66.8468118780291
"163",1,7,2,8.30174059827877,-53.9586150793905,-56.0701194947013,-53.9586150793905,-53.4161003129138,-130.063636770949,-143.958615079391,270,0,75,0.0932971900000155,0.513001076000037,1.00482365699999,2165.98233727725,87.0986668507798,87.0986668507798
"164",1,8,2,8.30174059827877,-80.461571314401,-82.5824187779338,168.899175173365,NA,80.9114674853748,159.538428685599,240,0,75,0.127281039999986,0.562206006000011,1.19272384199999,109.250648258693,NA,61.8432795480974
"165",1,9,2,8.30174059827877,-67.4424279099901,-66.8592409596872,-67.4424279099901,-66.8539159135715,-58.8642029292749,-67.4424279099901,0,0,75,0.156257550000021,0.483740876000027,0.936645607000003,1237.20575887861,80.2294707393213,80.2294707393213
"166",1,10,2,8.30174059827877,-84.4954661717068,-85.5081901647002,-84.4954661717068,-84.1870180927785,75.095165087186,-114.495466171707,330,0,75,0.126558152999991,0.501705004000016,1.74631302300001,1820.84697559739,82.7899413218118,82.7899413218118
"167",1,11,3,8.30174059827877,-79.3336803604287,-77.9086993540576,-79.3336803604287,NA,50.7266922097934,130.666319639571,210,0,75,0.146861830999995,0.497453003000004,1.15618285100004,492.559671101627,NA,61.2976422633387
"168",1,12,3,8.30174059827877,-90.541939714945,-159.334410332258,177.98427950392,NA,178.346924452216,-30.541939714945,60,0,75,0.331331774999995,0.494384322000002,0.928681739999988,-4.73241288519617,NA,58.1426843569928
"169",1,13,3,8.30174059827877,-70.6829406665425,-73.7503672645076,-70.6829406665425,NA,-146.878823475756,-130.682940666543,300,0,75,0.119367980999996,0.507632976999986,1.346920876,1280.96686065878,NA,76.958789411753
"170",1,14,3,8.30174059827877,-66.2927374281118,55.287432806917,55.287432806917,NA,-34.7402617322863,53.7072625718882,120,0,75,0.152486325000012,0.581594910999996,1.17751401399998,4588.97429811362,NA,72.2008061651816
"171",1,15,3,8.30174059827877,-59.6007654258799,18.2955856936549,18.2955856936549,NA,3.14640384256006,120.39923457412,180,0,75,0.150698828999992,0.578348297000005,1.48271254899997,7125.63233198346,NA,62.5335355206376
"172",1,16,4,8.30174059827877,-75.9696335480163,-71.9956844550887,5.99149625797486,NA,-121.520621853325,134.030366451984,210,0,75,0.115328673000008,0.505801790999982,1.19056485399997,5783.02764181886,NA,64.4535548501604
"173",1,17,4,8.30174059827877,-64.5527918351169,-64.7018940167137,-148.908346782063,NA,146.170953304978,85.4472081648832,150,0,75,0.125691381999999,0.526688299,1.01261564999999,334.047073452393,NA,66.3259455651102
"174",1,18,4,8.30174059827877,-78.7848742423112,-79.1437458170848,-78.7848742423112,-82.1892833429621,-64.6709856073791,161.215125757689,240,0,75,0.954350394000002,0.583487810999998,0.920827016000018,4426.05820008515,106.181462357804,106.181462357804
"175",1,19,4,8.30174059827877,-22.4440388226396,-20.3320957058524,-22.4440388226396,-21.3515571420905,10.6012946450045,7.55596117736039,30,0,75,0.0926486869999934,0.341263811000005,1.898807754,3539.59803641483,123.237409407131,123.237409407131
"176",1,20,4,8.30174059827877,-75.6309828323409,-76.3116242834532,-75.6309828323409,NA,53.5875695679997,14.3690171676591,90,0,75,0.122524607999992,0.512337148999876,1.68730445499996,2301.77641974713,NA,74.7069863199132
"177",1,21,5,8.30174059827877,-68.3836474409273,-62.3193491492051,-68.3836474409273,-63.8061360146485,-17.6894438793752,-158.383647440927,270,0,75,0.0913092450000192,0.568416459999895,1.11456494200004,2160.35975050188,92.6408111601405,92.6408111601405
"178",1,22,5,8.30174059827877,-79.7675790109522,-84.5737923683189,-79.7675790109522,NA,-19.8160516787123,-19.7675790109522,60,0,75,0.136572688999991,0.475200027999961,1.19397870800003,938.133083895352,NA,74.1042714437163
