SN,TN,CN,tgtsize,hand_theta,hand_theta_maxv,hand_theta_maxradv,handMaxRadExt,hand_theta_50,raw_ep_hand_ang,ti,fbi,ri,MT,RT,ST,radvelmax,maxRadDist,testMaxRadDist
1,1,1,8.30174059827877,-59.509268635244,25.4619150776601,-120.690813239813,NaN,63.8164881431508,-59.509268635244,0,0,75,0.224812826999994,0.759307422999996,42.866111586,2204.79957499764,NaN,69.8381132431698
1,2,1,8.30174059827877,-78.1097714720476,-78.314267488691,-78.1097714720476,-78.314267488691,131.788894213728,101.890228527952,180,0,75,0.0655110900000082,0.540276093999992,1.20471126399998,2914.39817585987,84.5366272397436,84.5366272397436
1,3,1,8.30174059827877,-86.2048715827207,-82.7307253596639,-86.2048715827207,-82.7307253596639,-125.291140206612,33.7951284172793,120,0,75,0.0991326759999893,0.45835230399998,1.10437862500002,2763.50585064558,101.080038807111,101.080038807111
1,4,1,8.30174059827877,-90.3143787425934,-89.4334863432981,-90.3143787425934,-89.74085551782,-32.122277961431,59.6856212574066,150,0,75,0.142500967999993,0.475832445000016,0.963235346000012,1373.72699753858,116.400215713181,116.400215713181
1,5,1,8.30174059827877,-78.8417714023539,117.931689266892,117.931689266892,-73.6899896204,176.127406343289,11.1582285976461,90,0,75,0.0997550680000003,0.554702505999998,1.34004867599995,7544.53155203935,87.5436172136697,87.5436172136697
1,6,2,8.30174059827877,-61.9380322236357,-42.7828167865396,26.6614032440709,NaN,94.2865028341989,148.061967776364,210,0,75,0.100472489000012,0.531972775000014,0.977725144000026,1727.58981522916,NaN,66.730006041469
1,7,2,8.30174059827877,-85.7252056287882,-17.1453017187732,-85.7252056287882,-84.6443297116167,-30.0322911670928,154.274794371212,240,0,75,0.117019149000001,0.599814730999995,1.41780240600005,1913.57682732579,82.4720282996333,82.4720282996333
1,8,2,8.30174059827877,-67.6946957905323,-64.2027472401369,-67.6946957905323,-66.3768697272628,49.2952401195495,-97.6946957905323,330,0,75,0.0756546470000075,0.516320906000018,1.141491997,6348.2855247128,92.5843330311899,92.5843330311899
1,9,2,8.30174059827877,-56.0850117121367,-58.3241179215931,88.2820980743665,NaN,12.0737630940509,3.91498828786332,60,0,75,0.0959986189999995,0.538290364000005,1.00130065600005,6950.48749753092,NaN,79.5346236574118
1,10,2,8.30174059827877,-59.6805085027106,-63.305771258999,-92.099932961856,-63.1254771247203,-123.524906108544,-119.680508502711,300,0,75,0.092862640000007,0.514090113999998,1.19161355499996,2479.62026740369,84.8100480667947,84.8100480667947
1,11,3,8.30174059827877,-56.6023998758641,-54.7392301149517,-56.6023998758641,NaN,-131.842859993036,-146.602399875864,270,0,75,0.114027471,0.527031614000009,1.14863543900005,3332.69374704157,NaN,92.4586023820316
1,12,3,8.30174059827877,-63.1604228693876,-25.3381406292972,-63.1604228693876,NaN,25.4952124349239,-33.1604228693876,30,0,75,0.115767300000002,0.574620939000027,1.56659096200003,1798.10790195795,NaN,78.704207656511
1,13,3,8.30174059827877,-61.6902849414908,-61.9149969465087,-61.6902849414908,-61.1421139156994,-171.801733498807,-151.690284941491,270,0,75,0.117154188000001,0.52588727700001,1.46793962300003,2195.81432655202,90.8066572069247,90.8066572069247
1,14,3,8.30174059827877,-71.6391370089272,-70.9323164142246,-61.8503065942175,-70.8710779381012,74.6033485405763,-131.639137008927,300,0,75,0.0979313130000037,0.567484857000039,1.17581916999994,7310.27678048603,97.4853663587499,97.4853663587499
1,15,3,8.30174059827877,-63.2188191056781,-67.1802252372031,-63.2188191056781,-65.4515600881594,-122.458873748837,26.7811808943219,90,0,75,0.0568050050000153,0.504550087000013,1.09169919199995,7163.55486405901,115.945927097169,115.945927097169
