world_timestamp,world_index,fixation_id,start_timestamp,duration,dispersion,norm_pos_x,norm_pos_y,x_scaled,y_scaled,on_surf,target,RT,MT,event
1588136341.4664388,1532,504,1588136341.4936216,141.65997505187988,0.16057614857861013,0.486147403717041,0.5285974740982056,0.486147403717041,0.5285974740982056,True,270.0,0.4429791270000011,0.134593725000002,20
1588136341.6675007,1533,504,1588136341.4936216,141.65997505187988,0.16057614857861013,0.4862601161003113,0.5278668403625488,0.4862601161003113,0.5278668403625488,True,270.0,0.4429791270000011,0.134593725000002,20
1588136341.9355838,1536,505,1588136341.9352686,216.65596961975098,0.8075696558617984,0.5319749116897583,0.23957033455371854,0.5319749116897583,0.23957033455371854,True,270.0,0.4429791270000011,0.134593725000002,20
1588136342.0361154,1537,505,1588136341.9352686,216.65596961975098,0.8075696558617984,0.532484233379364,0.2410326302051544,0.532484233379364,0.2410326302051544,True,270.0,0.4429791270000011,0.134593725000002,20
1588136342.2036676,1538,505,1588136341.9352686,216.65596961975098,0.8075696558617984,0.5312471389770508,0.24224227666854856,0.5312471389770508,0.24224227666854856,True,270.0,0.4429791270000011,0.134593725000002,20
1588136342.2036676,1538,506,1588136342.1769238,108.32786560058594,0.13939872194217431,0.5200883150100708,0.22906579077243805,0.5200883150100708,0.22906579077243805,True,270.0,0.4429791270000011,0.134593725000002,20
1588136342.3377087,1539,506,1588136342.1769238,108.32786560058594,0.13939872194217431,0.5195539593696594,0.22786785662174225,0.5195539593696594,0.22786785662174225,True,270.0,0.4429791270000011,0.134593725000002,20
1588136342.5052607,1540,507,1588136342.5435734,216.65716171264648,1.4999240823249584,0.5332326889038086,0.2378062009811401,0.5332326889038086,0.2378062009811401,True,270.0,0.4429791270000011,0.134593725000002,20
1588136342.6393027,1541,507,1588136342.5435734,216.65716171264648,1.4999240823249584,0.5332886576652527,0.23811399936676025,0.5332886576652527,0.23811399936676025,True,270.0,0.4429791270000011,0.134593725000002,20
1588136342.8068547,1542,507,1588136342.5435734,216.65716171264648,1.4999240823249584,0.5337326526641846,0.23892875015735626,0.5337326526641846,0.23892875015735626,True,270.0,0.4429791270000011,0.134593725000002,20
1588136342.8068547,1542,508,1588136342.7768958,216.65692329406738,0.11748010702177472,0.5242331624031067,0.2231426984071732,0.5242331624031067,0.2231426984071732,True,270.0,0.4429791270000011,0.134593725000002,20
1588136342.9744067,1543,508,1588136342.7768958,216.65692329406738,0.11748010702177472,0.5241861343383789,0.22364971041679385,0.5241861343383789,0.22364971041679385,True,270.0,0.4429791270000011,0.134593725000002,20
1588136342.9744067,1543,509,1588136343.0102186,199.99098777771,0.1424949758006044,0.5230048298835754,0.222152978181839,0.5230048298835754,0.222152978181839,True,270.0,0.4429791270000011,0.134593725000002,20
1588136343.1419587,1544,509,1588136343.0102186,199.99098777771,0.1424949758006044,0.5232579112052917,0.2229265719652176,0.5232579112052917,0.2229265719652176,True,270.0,0.4429791270000011,0.134593725000002,20
1588136343.1419587,1544,510,1588136343.2352087,208.32300186157227,0.16626754636067806,0.5226741433143616,0.22173409163951874,0.5226741433143616,0.22173409163951874,True,270.0,0.4429791270000011,0.134593725000002,20
1588136343.3430207,1545,510,1588136343.2352087,208.32300186157227,0.16626754636067806,0.5226467251777649,0.220861092209816,0.5226467251777649,0.220861092209816,True,270.0,0.4429791270000011,0.134593725000002,20
1588136343.5440836,1546,511,1588136343.4601974,208.32395553588867,0.1323824184571019,0.5224210023880005,0.21988007426261905,0.5224210023880005,0.21988007426261905,True,270.0,0.4429791270000011,0.134593725000002,20
1588136343.644615,1547,511,1588136343.4601974,208.32395553588867,0.1323824184571019,0.5209168195724487,0.22009488940238955,0.5209168195724487,0.22009488940238955,True,270.0,0.4429791270000011,0.134593725000002,20
1588136343.644615,1547,512,1588136343.6851876,216.65692329406738,0.10707958179456832,0.5220466256141663,0.2235323190689087,0.5220466256141663,0.2235323190689087,True,270.0,0.4429791270000011,0.134593725000002,20
1588136343.7786558,1548,512,1588136343.6851876,216.65692329406738,0.10707958179456832,0.521774172782898,0.221103698015213,0.521774172782898,0.221103698015213,True,270.0,0.4429791270000011,0.134593725000002,20
