SN,TN,CN,tgtsize,hand_theta,hand_theta_maxv,hand_theta_maxradv,handMaxRadExt,hand_theta_50,raw_ep_hand_ang,ti,fbi,ri,MT,RT,ST,radvelmax,maxRadDist,testMaxRadDist
1,1,1,8.30174059827877,-65.0188405303884,-61.5885061200965,-65.0188405303884,-62.9110213195078,119.144439946013,144.981159469612,210,0,75,0.110986085,0.667831192999998,42.901154524,2796.18260670981,86.2817426122051,86.2817426122051
1,2,1,8.30174059827877,-95.1767278213182,-94.1446171461426,-95.1767278213182,-93.2304124110239,127.2155852167,24.8232721786818,120,0,75,0.112900751000005,0.452233747999998,1.32289690400003,4732.4157142883,84.1621829793243,84.1621829793243
1,3,1,8.30174059827877,-84.0512019869264,-100.28303242782,-18.8360876831194,NaN,141.472690799148,155.948798013074,240,0,75,0.104910310999998,0.552414507999991,1.382951793,167.378055472835,NaN,74.5006852480223
1,4,1,8.30174059827877,-71.8426679696992,-19.7279228187416,136.505271691085,-66.2658887611898,-19.7279228187416,-11.8426679696992,60,0,75,0.095726214999992,0.512754321000003,1.67131780799999,4127.71815148097,83.1199470116029,83.1199470116029
1,5,1,8.30174059827877,-82.860677707287,-77.3836062055886,-82.860677707287,-77.5006284119952,-68.8904280675657,-82.860677707287,0,0,75,0.11717032,0.460728347000007,1.17003428800002,2295.13343583309,87.2915058479664,87.2915058479664
1,6,2,8.30174059827877,-87.1288010025954,-80.7793075326514,-87.1288010025954,NaN,117.089050390993,92.8711989974046,180,0,75,0.0812514290000195,0.59926984800002,1.29177510300001,2481.58124662056,NaN,74.4471896494105
1,7,2,8.30174059827877,-87.8250303306148,-127.386601040758,-87.8250303306148,-86.1420805453215,-166.859988567787,-117.825030330615,330,0,75,0.0671927199999942,0.51736839299997,1.45980726799998,1950.55756524299,98.5216081229098,98.5216081229098
1,8,2,8.30174059827877,-82.7117343472797,-89.5795463193171,-82.7117343472797,-79.1524532959088,-170.82921164023,-142.71173434728,300,0,75,0.0715613980000001,0.523920888000021,1.20342381000002,6679.12837939466,96.0524838765482,96.0524838765482
1,9,2,8.30174059827877,-81.2278175086427,-86.9309310649235,-81.2278175086427,-77.8762117885703,-172.067100181109,-171.227817508643,270,0,75,0.0716602769999923,0.577665702000004,1.12720869300004,3620.4532654803,89.7731995903618,89.7731995903618
1,10,2,8.30174059827877,-86.457987089604,-86.457987089604,-86.457987089604,-79.298075688775,-95.5665582421144,3.54201291039598,90,0,75,0.0795550659999975,0.442841662000021,1.10581882400002,3522.7971441273,96.4916580663473,96.4916580663473
1,11,3,8.30174059827877,-67.9088341692277,-72.1675761303915,-67.9088341692277,NaN,-59.2320476737043,-37.9088341692277,30,0,75,0.131972458000007,0.498051650999983,0.895490312999982,1502.40296699032,NaN,70.1479032432147
1,12,3,8.30174059827877,-91.1218379137918,-86.7763566432324,-91.1218379137918,-91.2858765970549,-151.553295719486,58.8781620862082,150,0,75,0.0734605149999936,0.507548639999968,1.03150547300001,2209.14147002674,94.900043665699,94.900043665699
1,13,3,8.30174059827877,-79.2821706376798,-137.912375240566,-79.2821706376798,-80.6912457122805,-163.87143825778,-139.28217063768,300,0,75,0.083879655000004,0.530777951000005,1.10593768700001,1316.56009637038,89.3048221352602,89.3048221352602
