TN,Time,x_norm,y_norm,RT,Target
25,0.0,0.07969599962234497,0.3619629144668579,-0.575702133999982,180
25,0.001,0.07966951429537382,0.36170466548308433,-0.574702133999982,180
25,0.002,0.07964302896840267,0.36144641649931075,-0.573702133999982,180
25,0.003,0.07961654364143152,0.3611881675155372,-0.572702133999982,180
25,0.004,0.07959005831446037,0.3609299185317636,-0.571702133999982,180
25,0.005,0.0795635729874892,0.36067166954799,-0.570702133999982,180
25,0.006,0.07953708766051805,0.36041342056421644,-0.569702133999982,180
25,0.007,0.0795106023335469,0.36015517158044286,-0.568702133999982,180
25,0.008,0.07948411700657575,0.3598969225966693,-0.567702133999982,180
25,0.009000000000000001,0.0794576316796046,0.3596386736128957,-0.566702133999982,180
25,0.01,0.07943114635263344,0.35938042462912206,-0.565702133999982,180
25,0.011,0.0794046610256623,0.3591221756453485,-0.564702133999982,180
25,0.012,0.07937817569869114,0.3588639266615749,-0.563702133999982,180
25,0.013000000000000001,0.07935169037171999,0.3586056776778013,-0.562702133999982,180
25,0.014,0.07932520504474884,0.35834742869402775,-0.561702133999982,180
25,0.015,0.07929871971777767,0.35808917971025417,-0.560702133999982,180
25,0.016,0.07927223439080652,0.3578309307264806,-0.559702133999982,180
25,0.017,0.07924574906383537,0.357572681742707,-0.558702133999982,180
25,0.018000000000000002,0.07921926373686422,0.35731443275893343,-0.557702133999982,180
25,0.019,0.07919277840989307,0.35705618377515985,-0.556702133999982,180
25,0.02,0.07916629308292192,0.3567979347913863,-0.555702133999982,180
25,0.021,0.07913980775595077,0.3565396858076127,-0.554702133999982,180
25,0.022,0.07911332242897962,0.3562814368238391,-0.553702133999982,180
25,0.023,0.07908683710200846,0.35602318784006554,-0.552702133999982,180
25,0.024,0.07906035177503731,0.35576493885629196,-0.551702133999982,180
25,0.025,0.07903386644806615,0.3555066898725184,-0.550702133999982,180
25,0.026000000000000002,0.079007381121095,0.3552484408887448,-0.549702133999982,180
25,0.027,0.07898089579412385,0.3549901919049712,-0.548702133999982,180
25,0.028,0.0789544104671527,0.35473194292119764,-0.547702133999982,180
25,0.029,0.07892792514018154,0.35447369393742406,-0.546702133999982,180
25,0.03,0.07890143981321039,0.3542154449536504,-0.545702133999982,180
25,0.031,0.07887495448623924,0.35395719596987685,-0.544702133999982,180
25,0.032,0.07884846915926809,0.35369894698610327,-0.543702133999982,180
25,0.033,0.07882198383229694,0.3534406980023297,-0.542702133999982,180
25,0.034,0.07879549850532579,0.3531824490185561,-0.541702133999982,180
25,0.035,0.07876901317835462,0.35292420003478253,-0.540702133999982,180
25,0.036000000000000004,0.07874252785138347,0.35266595105100895,-0.539702133999982,180
25,0.037,0.07871604252441232,0.3524077020672354,-0.538702133999982,180
25,0.038,0.07868955719744117,0.3521494530834618,-0.537702133999982,180
25,0.039,0.07866307187047002,0.3518912040996882,-0.536702133999982,180
25,0.04,0.07863658654349887,0.35163295511591464,-0.535702133999982,180
25,0.041,0.07861010121652771,0.35137470613214106,-0.534702133999982,180
25,0.042,0.07858361588955656,0.3511164571483675,-0.533702133999982,180
25,0.043000000000000003,0.07855713056258541,0.3508582081645939,-0.532702133999982,180
25,0.044,0.07853064523561426,0.3505999591808203,-0.531702133999982,180
25,0.045,0.0785041599086431,0.35034171019704674,-0.530702133999982,180
25,0.046,0.07847767458167194,0.35008346121327316,-0.529702133999982,180
25,0.047,0.07845118925470079,0.3498252122294996,-0.528702133999982,180
25,0.048,0.07842470392772964,0.349566963245726,-0.527702133999982,180
25,0.049,0.07839821860075849,0.3493087142619524,-0.526702133999982,180
25,0.05,0.07837173327378734,0.3490504652781788,-0.525702133999982,180
25,0.051000000000000004,0.07834524794681619,0.3487922162944052,-0.524702133999982,180
25,0.052000000000000005,0.07831876261984504,0.34853396731063163,-0.523702133999982,180
25,0.053,0.07829227729287389,0.34827571832685805,-0.522702133999982,180
25,0.054,0.07826579196590272,0.3480174693430845,-0.521702133999982,180
25,0.055,0.07823930663893157,0.3477592203593109,-0.520702133999982,180
25,0.056,0.07821282131196042,0.3475009713755373,-0.519702133999982,180
25,0.057,0.07818633598498927,0.34724272239176374,-0.518702133999982,180
25,0.058,0.07815985065801812,0.34698447340799016,-0.517702133999982,180
25,0.059000000000000004,0.07813336533104696,0.3467262244242166,-0.516702133999982,180
25,0.06,0.07810688000407581,0.346467975440443,-0.5157021339999821,180
25,0.061,0.07808039467710466,0.3462097264566694,-0.514702133999982,180
25,0.062,0.07805390935013351,0.34595147747289584,-0.5137021339999821,180
25,0.063,0.07802742402316236,0.34569322848912226,-0.512702133999982,180
25,0.064,0.0780009386961912,0.3454349795053487,-0.5117021339999821,180
25,0.065,0.07797445336922004,0.3451767305215751,-0.510702133999982,180
25,0.066,0.07794796804224889,0.3449184815378015,-0.5097021339999821,180
25,0.067,0.07792148271527774,0.34466023255402795,-0.508702133999982,180
25,0.068,0.07789499738830659,0.3444019835702543,-0.5077021339999821,180
25,0.069,0.07786851206133544,0.34414373458648073,-0.506702133999982,180
25,0.07,0.07784202673436429,0.34388548560270715,-0.5057021339999821,180
25,0.07100000000000001,0.07781554140739314,0.3436272366189336,-0.504702133999982,180
25,0.07200000000000001,0.07778905608042198,0.34336898763516,-0.5037021339999821,180
25,0.073,0.07776257075345083,0.3431107386513864,-0.5027021339999821,180
25,0.074,0.07773608542647967,0.34285248966761284,-0.5017021339999821,180
25,0.075,0.07770960009950852,0.34259424068383926,-0.5007021339999821,180
25,0.076,0.07768311477253736,0.3423359917000657,-0.49970213399998203,180
