"world_timestamp","world_index","gaze_timestamp","x_norm","y_norm","x_scaled","y_scaled","on_surf","confidence","target","RT","MT","event","phase"
1.54147887229919,1988,1588490678.14804,0.496911644935608,0.617803275585175,0.496911644935608,0.617803275585175,"True",0.998540572673969,90,0.525731295999947,0.129468251999981,274,1
2.04413485527039,1991,1588490678.69802,0.491573870182037,0.596315205097198,0.491573870182037,0.596315205097198,"True",0.905812457455185,90,0.525731295999947,0.129468251999981,274,1
2.04413485527039,1991,1588490678.71468,0.491786301136017,0.59904670715332,0.491786301136017,0.59904670715332,"True",0.999075637646807,90,0.525731295999947,0.129468251999981,274,1
2.04413485527039,1991,1588490678.73135,0.492492079734802,0.599917590618134,0.492492079734802,0.599917590618134,"True",0.999068474362286,90,0.525731295999947,0.129468251999981,274,1
2.04413485527039,1991,1588490678.73968,0.492034792900086,0.600466430187225,0.492034792900086,0.600466430187225,"True",0.998848059104177,90,0.525731295999947,0.129468251999981,274,1
2.04413485527039,1991,1588490678.75635,0.492045283317566,0.600832402706146,0.492045283317566,0.600832402706146,"True",0.998957250902234,90,0.525731295999947,0.129468251999981,274,1
2.04413485527039,1991,1588490678.77301,0.491940855979919,0.600829362869263,0.491940855979919,0.600829362869263,"True",0.999009248556244,90,0.525731295999947,0.129468251999981,274,1
2.04413485527039,1991,1588490678.78135,0.492157250642776,0.601511716842651,0.492157250642776,0.601511716842651,"True",0.9988818409202,90,0.525731295999947,0.129468251999981,274,1
2.04413485527039,1991,1588490678.79801,0.492144018411636,0.600410044193268,0.492144018411636,0.600410044193268,"True",0.998884717694005,90,0.525731295999947,0.129468251999981,274,1
2.04413485527039,1991,1588490678.84801,0.493008971214294,0.600684225559235,0.493008971214294,0.600684225559235,"True",0.998808835719916,90,0.525731295999947,0.129468251999981,274,1
2.04413485527039,1991,1588490678.87301,0.493600964546204,0.600176632404327,0.493600964546204,0.600176632404327,"True",0.998881783493379,90,0.525731295999947,0.129468251999981,274,1
2.47976970672607,1992,1588490678.91467,0.49623641371727,0.604413032531738,0.49623641371727,0.604413032531738,"True",0.998974058968936,90,0.525731295999947,0.129468251999981,274,1
2.47976970672607,1992,1588490678.94801,0.496934980154037,0.604618668556213,0.496934980154037,0.604618668556213,"True",0.999023454863749,90,0.525731295999947,0.129468251999981,274,1
2.47976970672607,1992,1588490678.95634,0.496038109064102,0.604349315166473,0.496038109064102,0.604349315166473,"True",0.997804834744873,90,0.525731295999947,0.129468251999981,274,1
2.47976970672607,1992,1588490678.98967,0.496731847524643,0.604928910732269,0.496731847524643,0.604928910732269,"True",0.981719942294296,90,0.525731295999947,0.129468251999981,274,1
2.47976970672607,1992,1588490679.048,0.498216092586517,0.604898273944855,0.498216092586517,0.604898273944855,"True",0.998732364168892,90,0.525731295999947,0.129468251999981,274,1
2.47976970672607,1992,1588490679.08967,0.500238597393036,0.604655981063843,0.500238597393036,0.604655981063843,"True",0.997318847397287,90,0.525731295999947,0.129468251999981,274,1
2.47976970672607,1992,1588490679.11467,0.493405431509018,0.604183793067932,0.493405431509018,0.604183793067932,"True",0.999184108439657,90,0.525731295999947,0.129468251999981,274,1
2.47976970672607,1992,1588490679.13133,0.461829453706741,0.605981111526489,0.461829453706741,0.605981111526489,"True",0.893670167048912,90,0.525731295999947,0.129468251999981,274,1
2.47976970672607,1992,1588490679.21466,0.465142846107483,0.608069241046906,0.465142846107483,0.608069241046906,"True",0.999189781910683,90,0.525731295999947,0.129468251999981,274,1
2.47976970672607,1992,1588490679.23966,0.46671187877655,0.60878986120224,0.46671187877655,0.60878986120224,"True",0.999328213773725,90,0.525731295999947,0.129468251999981,274,1
2.47976970672607,1992,1588490679.25633,0.466987133026123,0.610164999961853,0.466987133026123,0.610164999961853,"True",0.999202358363339,90,0.525731295999947,0.129468251999981,274,1
2.47976970672607,1992,1588490679.26466,0.46696412563324,0.609472572803497,0.46696412563324,0.609472572803497,"True",0.999080082138136,90,0.525731295999947,0.129468251999981,274,1
2.81487393379211,1993,1588490679.28966,0.466993629932404,0.60996288061142,0.466993629932404,0.60996288061142,"True",0.99934561493647,90,0.525731295999947,0.129468251999981,274,1
2.81487393379211,1993,1588490679.29799,0.467030733823776,0.609403192996979,0.467030733823776,0.609403192996979,"True",0.999291564531894,90,0.525731295999947,0.129468251999981,274,1
2.81487393379211,1993,1588490679.31466,0.466868937015534,0.609400808811188,0.466868937015534,0.609400808811188,"True",0.999376062850317,90,0.525731295999947,0.129468251999981,274,1
2.81487393379211,1993,1588490679.32299,0.466702252626419,0.609110772609711,0.466702252626419,0.609110772609711,"True",0.999185006437425,90,0.525731295999947,0.129468251999981,274,1
2.81487393379211,1993,1588490679.33966,0.46659329533577,0.610176980495453,0.46659329533577,0.610176980495453,"True",0.999196765413727,90,0.525731295999947,0.129468251999981,274,1
2.81487393379211,1993,1588490679.35632,0.466390937566757,0.610543131828308,0.466390937566757,0.610543131828308,"True",0.999250475590801,90,0.525731295999947,0.129468251999981,274,1
2.81487393379211,1993,1588490679.36465,0.466398328542709,0.610546112060547,0.466398328542709,0.610546112060547,"True",0.999374444203644,90,0.525731295999947,0.129468251999981,274,1
2.81487393379211,1993,1588490679.38132,0.466003507375717,0.610644519329071,0.466003507375717,0.610644519329071,"True",0.999229900242629,90,0.525731295999947,0.129468251999981,274,1
2.81487393379211,1993,1588490679.39799,0.466332465410232,0.610507428646088,0.466332465410232,0.610507428646088,"True",0.999161790862347,90,0.525731295999947,0.129468251999981,274,1
2.98242592811584,1994,1588490679.57298,0.481768757104874,0.603540301322937,0.481768757104874,0.603540301322937,"True",0.80091241715595,90,0.525731295999947,0.129468251999981,274,1
2.98242592811584,1994,1588490679.63964,0.51897132396698,0.53870677947998,0.51897132396698,0.53870677947998,"True",0.910625183985718,90,0.525731295999947,0.129468251999981,274,1
2.98242592811584,1994,1588490679.71464,0.520646631717682,0.539783775806427,0.520646631717682,0.539783775806427,"True",0.998405262119194,90,0.525731295999947,0.129468251999981,274,1
0,1999,1588490680.54793,0.507267653942108,0.551188468933105,0.507267653942108,0.551188468933105,"True",0.998354519933348,60,0.55282152999996,0.120202608999989,275,1
0,1999,1588490680.55627,0.50766921043396,0.551746189594269,0.50766921043396,0.551746189594269,"True",0.998108084896116,60,0.55282152999996,0.120202608999989,275,1
0,1999,1588490680.5646,0.507956981658936,0.551236867904663,0.507956981658936,0.551236867904663,"True",0.998583193406674,60,0.55282152999996,0.120202608999989,275,1
0,1999,1588490680.57293,0.507324278354645,0.551178932189941,0.507324278354645,0.551178932189941,"True",0.998284273955519,60,0.55282152999996,0.120202608999989,275,1
0,1999,1588490680.59793,0.507088184356689,0.551064491271973,0.507088184356689,0.551064491271973,"True",0.998496164110114,60,0.55282152999996,0.120202608999989,275,1
