world_timestamp,world_index,gaze_timestamp,x_norm,y_norm,x_scaled,y_scaled,on_surf,confidence,target,RT,MT,event
1588490990.4343052,1656,1588490990.467009,0.5401744246482849,0.4332226812839508,0.5401744246482849,0.4332226812839508,True,0.33086082415635626,270.0,0.500006684999988,0.0597820530000206,26
1588490990.501326,1657,1588490990.5003402,0.5399892330169678,0.4337999820709229,0.5399892330169678,0.4337999820709229,True,0.3982503652172595,270.0,0.500006684999988,0.0597820530000206,26
1588490990.501326,1657,1588490990.533672,0.5397515892982483,0.4351020753383637,0.5397515892982483,0.4351020753383637,True,0.3960163235241933,270.0,0.500006684999988,0.0597820530000206,26
1588490990.6353679,1658,1588490990.5920029,0.5381887555122375,0.4353519678115845,0.5381887555122375,0.4353519678115845,True,0.4546520026662556,270.0,0.500006684999988,0.0597820530000206,26
1588490990.6353679,1658,1588490990.6503332,0.5377746820449829,0.43763217329978943,0.5377746820449829,0.43763217329978943,True,0.3340845942711865,270.0,0.500006684999988,0.0597820530000206,26
1588490990.702389,1659,1588490990.7086642,0.4978787004947662,0.41184714436531067,0.4978787004947662,0.41184714436531067,True,0.2689653350677201,270.0,0.500006684999988,0.0597820530000206,26
1588490990.7358992,1660,1588490990.7753284,0.4976761937141418,0.4158854782581329,0.4976761937141418,0.4158854782581329,True,0.3220408859356217,270.0,0.500006684999988,0.0597820530000206,26
1588490990.83643,1661,1588490990.8336582,0.5360400676727295,0.4501239657402039,0.5360400676727295,0.4501239657402039,True,0.19565989211320567,270.0,0.500006684999988,0.0597820530000206,26
1588490990.9034512,1662,1588490990.883656,0.5363237857818604,0.4538203477859497,0.5363237857818604,0.4538203477859497,True,0.4071542889881323,270.0,0.500006684999988,0.0597820530000206,26
1588490990.9034512,1662,1588490990.9336538,0.5359702706336975,0.4557767808437347,0.5359702706336975,0.4557767808437347,True,0.437208332700596,270.0,0.500006684999988,0.0597820530000206,26
1588490991.0710034,1664,1588490991.0419822,0.5114659070968628,0.3861831724643707,0.5114659070968628,0.3861831724643707,True,0.2670275123009278,270.0,0.500006684999988,0.0597820530000206,26
