world_timestamp,world_index,gaze_timestamp,x_norm,y_norm,x_scaled,y_scaled,on_surf,confidence,target,RT,MT,event
1588488868.9571812,935,1588488868.7146142,0.4956997036933899,0.6179263591766357,0.4956997036933899,0.6179263591766357,True,0.9980483156421986,90.0,0.517190970000001,0.0761421090000027,1
1588488868.9571812,935,1588488868.7229474,0.4954090118408203,0.6171777248382568,0.4954090118408203,0.6171777248382568,True,0.9981746313855464,90.0,0.517190970000001,0.0761421090000027,1
1588488868.9571812,935,1588488868.73128,0.4942998290061951,0.6158654689788818,0.4942998290061951,0.6158654689788818,True,0.9981394673622088,90.0,0.517190970000001,0.0761421090000027,1
1588488868.9571812,935,1588488868.747946,0.4945433139801026,0.6194673776626587,0.4945433139801026,0.6194673776626587,True,0.9979934524116209,90.0,0.517190970000001,0.0761421090000027,1
1588488868.9571812,935,1588488868.7646122,0.4943574666976929,0.6171605587005615,0.4943574666976929,0.6171605587005615,True,0.9981102618044314,90.0,0.517190970000001,0.0761421090000027,1
1588488868.9571812,935,1588488868.7896109,0.4947277307510376,0.6190520524978638,0.4947277307510376,0.6190520524978638,True,0.998402414007064,90.0,0.517190970000001,0.0761421090000027,1
1588488868.9571812,935,1588488868.806277,0.4944269061088562,0.6197887063026428,0.4944269061088562,0.6197887063026428,True,0.9980592824879448,90.0,0.517190970000001,0.0761421090000027,1
1588488868.9571812,935,1588488868.8312762,0.4948821663856506,0.6181825399398804,0.4948821663856506,0.6181825399398804,True,0.9980945304272346,90.0,0.517190970000001,0.0761421090000027,1
1588488868.9571812,935,1588488868.8396082,0.4935816824436188,0.6210232973098755,0.4935816824436188,0.6210232973098755,True,0.9983926546244184,90.0,0.517190970000001,0.0761421090000027,1
1588488868.9571812,935,1588488868.9062722,0.4935073554515839,0.6242445707321167,0.4935073554515839,0.6242445707321167,True,0.9983298390201336,90.0,0.517190970000001,0.0761421090000027,1
1588488868.9571812,935,1588488868.922938,0.4920984506607056,0.6236302852630615,0.4920984506607056,0.6236302852630615,True,0.9978888395107991,90.0,0.517190970000001,0.0761421090000027,1
1588488868.9571812,935,1588488868.931271,0.4920768141746521,0.6267489194869995,0.4920768141746521,0.6267489194869995,True,0.9982558779931932,90.0,0.517190970000001,0.0761421090000027,1
1588488868.9571812,935,1588488868.9396038,0.4918432831764221,0.6276763081550598,0.4918432831764221,0.6276763081550598,True,0.998362011779463,90.0,0.517190970000001,0.0761421090000027,1
1588488868.9571812,935,1588488868.9646034,0.4914547801017761,0.6256086230278015,0.4914547801017761,0.6256086230278015,True,0.9982660306736608,90.0,0.517190970000001,0.0761421090000027,1
1588488868.9571812,935,1588488868.9812694,0.4909950494766235,0.6246726512908936,0.4909950494766235,0.6246726512908936,True,0.99829360766517,90.0,0.517190970000001,0.0761421090000027,1
1588488868.9571812,935,1588488868.997935,0.4910381734371185,0.6267697215080261,0.4910381734371185,0.6267697215080261,True,0.9983074974580914,90.0,0.517190970000001,0.0761421090000027,1
1588488868.9571812,935,1588488869.006267,0.4908344447612762,0.6234704256057739,0.4908344447612762,0.6234704256057739,True,0.9982518307636432,90.0,0.517190970000001,0.0761421090000027,1
1588488868.9571812,935,1588488869.0312662,0.4903846681118012,0.6216720342636108,0.4903846681118012,0.6216720342636108,True,0.9983132165931928,90.0,0.517190970000001,0.0761421090000027,1
1588488868.9571812,935,1588488869.0395992,0.4912724494934082,0.625619649887085,0.4912724494934082,0.625619649887085,True,0.9979968056167579,90.0,0.517190970000001,0.0761421090000027,1
1588488869.1247332,936,1588488869.056265,0.497504860162735,0.7113654017448425,0.497504860162735,0.7113654017448425,True,0.9960142861055542,90.0,0.517190970000001,0.0761421090000027,1
1588488869.1247332,936,1588488869.072931,0.4965842962265015,0.7757705450057983,0.4965842962265015,0.7757705450057983,True,0.9942403783906846,90.0,0.517190970000001,0.0761421090000027,1
1588488869.1247332,936,1588488869.0895972,0.49741515517234797,0.77507084608078,0.49741515517234797,0.77507084608078,True,0.9990316375654112,90.0,0.517190970000001,0.0761421090000027,1
1588488869.1247332,936,1588488869.1062634,0.4971947968006134,0.7742181420326233,0.4971947968006134,0.7742181420326233,True,0.9990968629512236,90.0,0.517190970000001,0.0761421090000027,1
1588488869.1247332,936,1588488869.1145961,0.4974376559257507,0.7745504379272461,0.4974376559257507,0.7745504379272461,True,0.9991155887134521,90.0,0.517190970000001,0.0761421090000027,1
1588488869.1247332,936,1588488869.1312618,0.4986671507358551,0.7716724872589111,0.4986671507358551,0.7716724872589111,True,0.9990672685715608,90.0,0.517190970000001,0.0761421090000027,1
1588488869.1247332,936,1588488869.147928,0.4984673857688904,0.7723165154457092,0.4984673857688904,0.7723165154457092,True,0.9992738611816347,90.0,0.517190970000001,0.0761421090000027,1
1588488869.1247332,936,1588488869.1562614,0.4986947178840637,0.770055890083313,0.4986947178840637,0.770055890083313,True,0.9990193513409864,90.0,0.517190970000001,0.0761421090000027,1
1588488869.1247332,936,1588488869.1645944,0.4971436858177185,0.7694422602653503,0.4971436858177185,0.7694422602653503,True,0.9990838054752756,90.0,0.517190970000001,0.0761421090000027,1
1588488869.1247332,936,1588488869.1812592,0.4966094195842743,0.769369900226593,0.4966094195842743,0.769369900226593,True,0.998998810429218,90.0,0.517190970000001,0.0761421090000027,1
1588488869.1247332,936,1588488869.197925,0.4969342648983002,0.7695047855377197,0.4969342648983002,0.7695047855377197,True,0.9991500972252824,90.0,0.517190970000001,0.0761421090000027,1
