SN,TN,CN,tgtsize,hand_theta,hand_theta_maxv,hand_theta_maxradv,handMaxRadExt,hand_theta_50,raw_ep_hand_ang,ti,fbi,ri,MT,RT,ST,radvelmax,maxRadDist,testMaxRadDist
1,1,1,8.30174059827877,-65.8174644065909,-65.6498159628511,-65.8174644065909,-60.7382260789901,-30.3137354483054,-65.8174644065909,0,0,75,0.0698438370000005,0.438131417999969,46.1780787010001,5162.27057821415,126.877273088869,126.877273088869
1,2,1,8.30174059827877,-95.0761931347839,-93.8889689530488,-95.0761931347839,-94.4104088642316,-159.132796304552,84.9238068652161,180,0,75,0.101726461000005,0.423825276999992,1.47953279500003,2363.85774770803,90.306711291741,90.306711291741
1,3,1,8.30174059827877,-67.6053279137992,118.532741706339,118.532741706339,-66.0868159969682,-65.1768276414558,52.3946720862008,120,0,75,0.108126355000003,0.413085747999986,1.00003161000001,6750.46624996983,99.0479351434631,99.0479351434631
1,4,1,8.30174059827877,-93.8039262539424,-90.5893273661017,-93.8039262539424,-88.6103112059189,-89.8499188437094,56.1960737460576,150,0,75,0.0815347569999929,0.416646755999999,1.228688034,2203.71922503299,83.2359924534046,83.2359924534046
1,5,1,8.30174059827877,-66.7476054264321,-61.6162104499831,-66.7476054264321,NaN,-62.2847662684018,23.2523945735679,90,0,75,0.109590128999997,0.470493675999997,0.944097077999999,1555.41226295182,NaN,67.7681524578795
1,6,2,8.30174059827877,-63.2372109832821,-63.2372109832821,-63.2372109832821,-62.7225079811652,-60.4259152281054,146.762789016718,210,0,75,0.0730311669999963,0.512645059999997,0.840926692000039,5057.21495680324,106.649658077703,106.649658077703
1,7,2,8.30174059827877,-91.6285814095424,-86.1220476762902,-91.6285814095424,NaN,-127.584079459351,148.371418590458,240,0,75,0.103799889000015,0.453807422999986,1.52911237699995,572.627676987747,NaN,77.4514813872179
1,8,2,8.30174059827877,-102.070114507686,-100.239177022646,-102.070114507686,-97.5669437314169,160.576984644952,-132.070114507686,330,0,75,0.0771687169999922,0.479341543999979,1.29555901700002,3367.2182703484,96.2206187846846,96.2206187846846
1,9,2,8.30174059827877,-82.3821149828293,-81.0454025968487,-82.3821149828293,NaN,-123.537116652426,-22.3821149828293,60,0,75,0.0956046829999906,0.514777687999981,0.961080851999995,2009.59959085615,NaN,75.5542759460192
1,10,2,8.30174059827877,-88.3171238048809,-88.3171238048809,-88.3171238048809,-81.6309165450979,-44.8441124593806,-148.317123804881,300,0,75,0.074934295999995,0.537533604000018,1.45102253199997,7305.85162211274,104.452518233822,104.452518233822
1,11,3,8.30174059827877,-66.1562087363848,-101.916362025542,-66.1562087363848,-65.0135146157057,70.787806619801,-156.156208736385,270,0,75,0.096056510000011,0.52879309299999,1.20960852100001,2298.17332310404,94.006843956083,94.006843956083
1,12,3,8.30174059827877,-65.5129894212387,-72.3037984425054,-6.26159967616867,-64.9623111073716,3.34989113504212,-35.5129894212387,30,0,75,0.0899335529999945,0.506377759000003,1.17649093999998,2072.87466902102,85.6483552154917,85.6483552154917
1,13,3,8.30174059827877,-62.1800030308904,-60.249011896506,-62.1800030308904,-59.9535566966456,-152.064122324075,-152.18000303089,270,0,75,0.0979806819999993,0.520656413999973,1.14930369900004,1027.55332049068,97.8588508406172,97.8588508406172
1,14,3,8.30174059827877,-78.4193223512184,101.328201501768,101.328201501768,-76.4154020875976,-96.3804218322267,-138.419322351218,300,0,75,0.0951665770000147,0.505270655000018,1.17757689699997,9223.44746278741,95.52488953646,95.52488953646
1,15,3,8.30174059827877,-59.7085987627664,-56.3450649498242,-59.7085987627664,-60.0435788761762,-120.840892289707,30.2914012372336,90,0,75,0.109739031000004,0.471784606000043,1.31611313999997,1018.01283545063,80.5097407627564,80.5097407627564
1,16,4,8.30174059827877,-85.639206368614,-86.9240191168871,-85.639206368614,-85.6129896234919,-64.3713342503835,-85.639206368614,0,0,75,0.0746106739999988,0.541353708000003,1.29683278900001,3239.7741003042,91.3880066324351,91.3880066324351
1,17,4,8.30174059827877,-91.0798917964185,-95.9746157608868,-91.0798917964185,-93.4786519572925,156.566628336152,-121.079891796418,330,0,75,0.104604911000024,0.466443396000003,1.00199036600006,3346.5306047699,90.3905303828486,90.3905303828486
