"","SN","TN","CN","tgtsize","hand_theta","hand_theta_maxv","hand_theta_maxradv","handMaxRadExt","hand_theta_50","raw_ep_hand_ang","ti","fbi","ri","MT","RT","ST","radvelmax","maxRadDist","testMaxRadDist","hand","avg_hand"
"1",1,1,1,8.30174059827877,0.423641806215542,4.42580701683794,0.423641806215542,-1.85475034036554,143.671270921693,90.4236418062155,90,0,0,0.0709129739999952,0.464544502000017,45.439418414,2924.79528093018,110.74789671387,110.74789671387,1.76809807693297,1.22140081712105
"2",1,2,1,8.30174059827877,9.73730276679262,3.75429236761541,9.73730276679262,8.42115690027215,25.0816875166931,9.73730276679262,0,0,0,0.0863902379999999,0.459536679000003,1.14068186200001,5750.98592669929,101.701064970816,101.701064970816,-0.00673771074050755,NA
"3",1,3,1,8.30174059827877,2.21449683910461,7.81238038238493,2.21449683910461,NA,-25.8713791020278,152.214496839105,150,0,0,0.0824581949999939,0.467930994000021,1.167922066,2915.57568048403,NA,79.0357638140004,2.79476304688654,NA
"4",1,4,1,8.30174059827877,-6.26403089454857,-4.69440487152423,-6.26403089454857,-6.2751236690134,147.165858768277,-126.264030894549,240,0,0,0.0883254360000052,0.429767432999995,1.094075626,4487.49742488071,101.831199368285,101.831199368285,1.06289038452578,NA
"5",1,5,1,8.30174059827877,10.7556481400166,7.0343505790272,10.7556481400166,NA,23.6178231635212,-19.2443518599834,330,0,0,0.134992543999999,0.490998739000005,1.11812682100001,1130.30058904381,NA,72.7880662395468,3.950504381006,NA
"6",1,6,1,8.30174059827877,-0.832759068586029,21.8578518748316,-0.832759068586029,0.547511488280918,53.6476481089526,-90.832759068586,270,0,0,0.11333009099998,0.403648761000042,0.949801768000015,2775.06874710525,96.7186129012952,96.7186129012952,0.853294984638997,NA
"7",1,7,1,8.30174059827877,-6.86437963329831,-2.11534179140097,-6.86437963329831,-2.77635808445712,-10.0372696239797,173.135620366702,180,0,0,0.101919933000005,0.457986110999983,1.71517065599997,2170.30545922068,83.8205769948295,83.8205769948295,-7.89923913846114,NA
"8",1,8,1,8.30174059827877,1.50406487674319,-93.6426118556658,-93.6426118556658,5.31441867980467,72.9814330585607,31.5040648767432,30,0,0,0.122948921999992,0.414670973,1.35058738800002,6551.19210802911,82.7813464243696,82.7813464243696,3.96352688966099,NA
"9",1,9,1,8.30174059827877,-6.92363990973456,-2.93584216028604,-6.92363990973456,-4.25556161747364,0.315547705081251,53.0763600902654,60,0,0,0.0803141720000013,0.460861676999983,0.96211055200007,3478.29360783352,99.9387176339366,99.9387176339366,2.70832253645786,NA
"10",1,10,1,8.30174059827877,8.56160799335157,-9.44661086468193,8.56160799335157,6.70708580414646,-48.312827487871,-141.438392006648,210,0,0,0.116930106000012,0.330589054000001,1.08490181299997,2368.22119128613,92.4001511531636,92.4001511531636,7.65220087798195,NA
"11",1,11,1,8.30174059827877,11.0306259737106,11.7952149817785,11.0306259737106,NA,34.5445611681779,131.030625973711,120,0,0,0.101529310000004,0.419310008999986,1.12382769799997,758.146704298284,NA,71.5268319762501,-0.896555773425233,NA
"12",1,12,1,8.30174059827877,9.32319071336429,2.29051315005864,119.079977357237,NA,86.3961541727471,-50.6768092866357,300,0,0,0.136785833000005,0.374300825999995,1.06079413800002,295.533636425407,NA,70.4913660521592,-1.29425875001158,NA
"13",1,13,2,8.30174059827877,5.83807323019135,8.89055096547361,5.83807323019135,5.57725141945679,48.2071599117399,-24.1619267698086,330,0,0,0.129733153000018,0.461813198000002,1.12654830899997,911.48397864051,80.4888155505681,80.4888155505681,-0.967070528819253,-0.682864045029521
"14",1,14,2,8.30174059827877,-2.5895369017156,-0.77125980170473,-2.5895369017156,-0.297128836839306,-162.145999992707,147.410463098284,150,0,0,0.0946623810000062,0.423274724999999,1.20138765299998,1074.05310430726,84.7435634952509,84.7435634952509,-2.00927069393367,NA
"15",1,15,2,8.30174059827877,2.34565031793733,51.7358629745499,51.7358629745499,-1.10741157712533,10.3584993392009,-87.6543496820627,270,0,0,0.103664440999992,0.399982948999991,1.18153415399999,6483.36290767406,106.967044418792,106.967044418792,4.03170437116236,NA
"16",1,16,2,8.30174059827877,-8.18892609610347,-8.68847807253935,-8.18892609610347,-8.07098002621538,-31.0473737887926,81.8110739038965,90,0,0,0.102145730000004,0.34541761200002,1.41009822499996,1626.61669686507,84.4440347690677,84.4440347690677,-6.84446982538604,NA
"17",1,17,2,8.30174059827877,11.7489860102845,21.0339916484751,-4.03977623550726,NA,-16.5048193885091,131.748986010284,120,0,0,0.0632164069999988,0.416022677999976,0.915283610000031,2956.04687353688,NA,74.9647188325732,-0.178195736851332,NA
"18",1,18,2,8.30174059827877,8.39959110592133,2.40993194479205,-51.3498967214994,NA,156.465503829473,-51.6004088940786,300,0,0,0.153994077000007,0.42193204299997,1.33136197399998,8610.45992667641,NA,72.8538670121049,-2.21785835745454,NA
"19",1,19,2,8.30174059827877,-11.0736988715054,-11.4793015096041,-11.0736988715054,-9.3916778550133,-36.1461474337671,48.9263011284946,60,0,0,0.0642198310000026,0.452770175999959,0.988206018,5611.52399319566,123.204293662372,123.204293662372,-1.44173642531298,NA
"20",1,20,2,8.30174059827877,-8.49492675035214,-16.0107982214379,-8.49492675035219,-11.0046882645923,-31.3075889575571,-128.494926750352,240,0,0,0.0818239099999971,0.42686378800002,1.53920881399998,8789.92272204019,146.672374724311,146.672374724311,-1.16800547127779,NA
