TN,Time,x_norm,y_norm,RT,Target
5,0.0,0.043069243431090976,0.03372669219970703,-0.512767068000009,330
5,0.001,0.0430618437642998,0.033735675201313785,-0.511767068000009,330
5,0.002,0.04305444409750863,0.03374465820292054,-0.510767068000009,330
5,0.003,0.043047044430717454,0.0337536412045273,-0.509767068000009,330
5,0.004,0.043039644763926285,0.03376262420613405,-0.508767068000009,330
5,0.005,0.04303224509713511,0.033771607207740806,-0.507767068000009,330
5,0.006,0.04302484543034394,0.03378059020934756,-0.506767068000009,330
5,0.007,0.043017445763552764,0.03378957321095431,-0.505767068000009,330
5,0.008,0.04301004609676159,0.03379855621256107,-0.504767068000009,330
5,0.009000000000000001,0.04300264642997042,0.03380753921416783,-0.503767068000009,330
5,0.01,0.04299524676317924,0.03381652221577458,-0.502767068000009,330
5,0.011,0.042987847096388074,0.033825505217381334,-0.501767068000009,330
5,0.012,0.0429804474295969,0.03383448821898809,-0.500767068000009,330
5,0.013000000000000001,0.04297304776280573,0.03384347122059484,-0.49976706800000903,330
5,0.014,0.04296564809601455,0.0338524542222016,-0.49876706800000903,330
5,0.015,0.04295824842922338,0.033861437223808355,-0.497767068000009,330
5,0.016,0.04295084876243221,0.03387042022541511,-0.496767068000009,330
5,0.017,0.04294344909564103,0.03387940322702186,-0.495767068000009,330
5,0.018000000000000002,0.04293604942884986,0.033888386228628616,-0.494767068000009,330
5,0.019,0.042928649762058686,0.033897369230235376,-0.493767068000009,330
5,0.02,0.04292125009526751,0.03390635223184213,-0.492767068000009,330
5,0.021,0.04291385042847634,0.03391533523344888,-0.491767068000009,330
5,0.022,0.042906450761685165,0.03392431823505564,-0.490767068000009,330
5,0.023,0.042899051094893996,0.03393330123666239,-0.489767068000009,330
5,0.024,0.04289165142810282,0.03394228423826915,-0.488767068000009,330
5,0.025,0.04288425176131165,0.033951267239875904,-0.487767068000009,330
5,0.026000000000000002,0.042876852094520475,0.03396025024148266,-0.486767068000009,330
5,0.027,0.0428694524277293,0.03396923324308941,-0.485767068000009,330
5,0.028,0.04286205276093813,0.033978216244696165,-0.484767068000009,330
5,0.029,0.042854653094146954,0.033987199246302925,-0.483767068000009,330
5,0.03,0.042847253427355785,0.03399618224790968,-0.482767068000009,330
5,0.031,0.04283985376056461,0.03400516524951643,-0.481767068000009,330
5,0.032,0.04283245409377344,0.034014148251123186,-0.480767068000009,330
5,0.033,0.04282505442698226,0.03402313125272994,-0.479767068000009,330
5,0.034,0.04281765476019109,0.0340321142543367,-0.478767068000009,330
5,0.035,0.04281025509339992,0.03404109725594345,-0.477767068000009,330
5,0.036000000000000004,0.04280285542660874,0.03405008025755021,-0.476767068000009,330
5,0.037,0.04279545575981757,0.03405906325915696,-0.47576706800000906,330
5,0.038,0.0427880560930264,0.034068046260763714,-0.47476706800000906,330
5,0.039,0.04278065642623523,0.03407702926237047,-0.47376706800000906,330
5,0.04,0.04277325675944405,0.03408601226397723,-0.47276706800000906,330
5,0.041,0.042765857092652876,0.03409499526558398,-0.47176706800000906,330
5,0.042,0.04275845742586171,0.034103978267190735,-0.47076706800000906,330
5,0.043000000000000003,0.04275105775907053,0.03411296126879749,-0.46976706800000906,330
5,0.044,0.04274365809227936,0.03412194427040424,-0.46876706800000906,330
5,0.045,0.042736258425488186,0.034130927272011,-0.46776706800000906,330
5,0.046,0.04272885875869701,0.034139910273617756,-0.46676706800000906,330
5,0.047,0.04272145909190584,0.03414889327522451,-0.46576706800000905,330
5,0.048,0.042714059425114664,0.03415787627683126,-0.46476706800000905,330
5,0.049,0.042706659758323495,0.034166859278438017,-0.46376706800000905,330
5,0.05,0.04269926009153232,0.03417584228004478,-0.46276706800000905,330
5,0.051000000000000004,0.04269186042474115,0.03418482528165153,-0.46176706800000905,330
5,0.052000000000000005,0.042684460757949974,0.034193808283258284,-0.46076706800000905,330
5,0.053,0.0426770610911588,0.03420279128486504,-0.45976706800000905,330
5,0.054,0.04266966142436763,0.03421177428647179,-0.45876706800000905,330
5,0.055,0.04266226175757645,0.03422075728807855,-0.45776706800000905,330
5,0.056,0.042654862090785284,0.034229740289685305,-0.45676706800000905,330
5,0.057,0.04264746242399411,0.03423872329129206,-0.45576706800000905,330
5,0.058,0.04264006275720294,0.03424770629289881,-0.45476706800000904,330
5,0.059000000000000004,0.04263266309041176,0.034256689294505566,-0.45376706800000904,330
5,0.06,0.04262526342362059,0.034265672296112326,-0.45276706800000904,330
5,0.061,0.04261786375682942,0.03427465529771908,-0.45176706800000904,330
5,0.062,0.04261046409003824,0.03428363829932583,-0.45076706800000904,330
5,0.063,0.04260306442324707,0.03429262130093259,-0.44976706800000904,330
5,0.064,0.042595664756455896,0.03430160430253934,-0.44876706800000904,330
5,0.065,0.04258826508966473,0.034310587304146094,-0.44776706800000904,330
5,0.066,0.04258086542287355,0.034319570305752854,-0.44676706800000904,330
5,0.067,0.042573465756082375,0.03432855330735961,-0.44576706800000904,330
5,0.068,0.042566066089291206,0.03433753630896636,-0.44476706800000904,330
5,0.069,0.04255866642250003,0.034346519310573115,-0.44376706800000904,330
5,0.07,0.04255126675570886,0.03435550231217987,-0.44276706800000903,330
5,0.07100000000000001,0.042543867088917685,0.03436448531378663,-0.44176706800000903,330
5,0.07200000000000001,0.04253646742212651,0.03437346831539338,-0.44076706800000903,330
5,0.073,0.04252906775533534,0.034382451317000136,-0.43976706800000903,330
5,0.074,0.042521668088544164,0.03439143431860689,-0.43876706800000903,330
5,0.075,0.042514268421752995,0.03440041732021364,-0.43776706800000903,330
