"","SN","TN","CN","tgtsize","hand_theta","hand_theta_maxv","hand_theta_maxradv","handMaxRadExt","hand_theta_50","raw_ep_hand_ang","ti","fbi","ri","MT","RT","ST","radvelmax","maxRadDist","testMaxRadDist","hand","avg_hand"
"12",1,12,1,8.30174059827877,11.95195436937,7.36312042718146,-115.607556136648,13.1592320646352,10.2175318046076,-48.04804563063,300,0,0,0.105519542999986,0.424611072000005,1.65513529600003,5267.24268628237,98.2270124485106,98.2270124485106,3.73757768322358,NA
"13",1,13,2,8.30174059827877,0.468499717617533,-2.35353639896817,-142.23449497235,NA,78.7100419471136,-29.5315002823825,330,0,0,0.144240424999992,0.452775634999981,1.28895353499989,1268.11899121897,NA,65.95228072453,-1.77439174373082,-1.37796574525212
"14",1,14,2,8.30174059827877,1.84626548889636,0.406404855808773,1.84626548889636,0.487545616851065,41.6146808387196,151.846265488896,150,0,0,0.0625937870000115,0.44531258100001,1.27841666099998,2085.61355297042,94.6920011896682,94.6920011896682,3.38282332497501,NA
"15",1,15,2,8.30174059827877,-4.28624475944628,-9.29198061748718,-9.29198061748718,-2.64129882637678,22.3014326857381,-94.2862447594463,270,0,0,0.108246847000004,0.401345874999976,1.660174192,6931.31399046504,95.0699950265734,95.0699950265734,-0.852218371314075,NA
"16",1,16,2,8.30174059827877,0.726629887217058,-0.329484313960236,0.726629887217058,0.111154794552348,81.0642669920542,90.7266298872171,90,0,0,0.0695745740000007,0.431321141999987,1.51013314800005,3329.1535558336,91.1004244658903,91.1004244658903,-3.12911304007104,NA
"17",1,17,2,8.30174059827877,5.91977380011147,7.04191547646464,5.91977380011147,6.4720127424962,-38.1899831808366,125.919773800111,120,0,0,0.101990614000016,0.437598323999993,1.10923584400003,2400.2255792152,87.2940424828993,87.2940424828993,-8.78208187588565,NA
"18",1,18,2,8.30174059827877,8.07849007787087,2.90673856027132,8.07849007787087,8.12878826256355,2.38900673152318,-51.9215099221291,300,0,0,0.144655682999982,0.410432769000025,1.29093647500002,1375.52143447376,80.5476227286436,80.5476227286436,-0.135886608275554,NA
"19",1,19,2,8.30174059827877,-6.78731625712417,14.0552219671263,-6.78731625712417,-5.23202527393808,14.0552219671263,53.2126837428758,60,0,0,0.0983055820000232,0.422377149000027,1.46688824299991,1811.48607935438,115.797895772334,115.797895772334,0.838356616949587,NA
"20",1,20,2,8.30174059827877,-10.123125241289,-9.66372683506273,-10.123125241289,-10.1752630599634,-9.09376773296913,-130.123125241289,240,0,0,0.0974086209999996,0.406732042000016,1.64063965800011,4352.40758015842,128.70040186434,128.70040186434,0.410770049236298,NA
"21",1,21,2,8.30174059827877,-0.820475062544327,0.78834379212561,-0.820475062544327,NA,45.6777395607135,-0.820475062544327,0,0,0,0.110535974999976,0.525677067999908,2.3596976930001,2284.55007702818,NA,79.4291249519051,-5.15925565895042,NA
