"TN","Hand_angle","Eye_angle","Avg_hand","Avg_eye","Day"
1,0.405618527680423,-3.55489248175573,-0.186165282030636,6.63958413684082,1
2,3.5732019756292,5.40242925442187,NA,NA,1
3,-1.2251364566906,-27.2601146521287,NA,NA,1
4,0.7790449795058,13.3548164034731,NA,NA,1
5,1.26857026300189,-8.87841958127592,NA,NA,1
6,-1.29694059766106,0,NA,NA,1
7,2.85211399234618,-24.6683762393208,NA,NA,1
8,-5.64654102504171,119.129416258835,NA,NA,1
9,-2.37397049279046,11.6626586134165,NA,NA,1
10,6.87756349670872,7.85072483694603,NA,NA,1
11,-5.2713734646632,-13.653729800236,NA,NA,1
12,-2.17613458239283,0.290497029714118,NA,NA,1
13,-8.93855023751837,-8.33424062616581,-0.350889777599275,-6.7484230538209,1
14,-1.60607873268479,-30.2534106489449,NA,NA,1
15,-1.26442160298304,-2.63310584040227,NA,NA,1
16,1.03117883696939,-2.58230518576002,NA,NA,1
17,3.8424062786818,-18.6348922856971,NA,NA,1
18,-3.30029169717541,126.431533005536,NA,NA,1
19,3.12815975237956,4.35139620065678,NA,NA,1
20,-0.6938274078659,-149.502992380328,NA,NA,1
21,0.321712147952483,15.6236176084351,NA,NA,1
22,-1.02879577541068,-2.29009219385199,NA,NA,1
23,-1.49265470042319,-27.7869441648412,NA,NA,1
24,5.79048580688684,14.6303598655126,NA,NA,1
25,7.66997997451648,4.99862404245431,0.537055059629911,3.15524957320036,1
26,2.83121518937539,-27.1749080393912,NA,NA,1
27,-0.754189259589106,-0.171193012232827,NA,NA,1
28,-1.43679736464982,-5.67854211172006,NA,NA,1
29,-0.14394478184513,16.0595521711474,NA,NA,1
30,1.42896718598141,-32.1144234697608,NA,NA,1
31,-3.89491412358169,74.4215014560646,NA,NA,1
32,-5.84876772129803,-134.271882118195,NA,NA,1
33,-1.359459291923,-29.1640322507116,NA,NA,1
34,5.47642627956824,-11.6782917529268,NA,NA,1
35,-0.0852175716399,178.972895574313,NA,NA,1
36,2.56136220064409,3.66369438936385,NA,NA,1
37,-1.73910965564692,-50.4847512670726,-60.9600754982992,17.7458616657408,1
38,-42.2339239140373,12.8982654775235,NA,NA,1
39,-56.2228308943175,-109.977036041536,NA,NA,1
40,-86.4646915407555,-34.2601284098242,NA,NA,1
41,-71.0089263533012,119.900822152903,NA,NA,1
42,-65.2054904757785,179.22841440897,NA,NA,1
43,-87.0074745721652,-35.1794899118541,NA,NA,1
44,-51.848459237324,-117.85742723644,NA,NA,1
45,-67.5860520939304,-1.37140984348018,NA,NA,1
46,-86.0899341465496,168.853092845677,NA,NA,1
47,-64.6812691210902,72.9113979948056,NA,NA,1
48,-51.4327439746938,8.28858981921726,NA,NA,1
