"TN","Hand_angle","Eye_angle","Avg_hand","Avg_eye","RT","Eye_time","Day"
37,-54.8451936031695,-115.857061608939,-74.7742083548064,-9.29977639897526,0.665894976000004,0.100531339645386,6
38,-50.5514726407386,57.7847422639388,NA,NA,0.421833972000009,0.268082857131958,6
39,-72.3915256433482,-135.26955512278,NA,NA,0.562157135999989,0.134042024612427,6
40,-97.9753167085299,0,NA,NA,0.469546447000006,0,6
41,-81.126574703378,-41.2431956218373,NA,NA,0.424912178,0.268083095550537,6
42,-67.7178678952596,136.276513853563,NA,NA,0.487536359000003,0.335103988647461,6
43,-88.6211770167472,-124.462954866791,NA,NA,0.400114917999986,0.201062202453613,6
44,-56.7514184410402,163.115384159814,NA,NA,0.490398940999995,0.201061964035034,6
45,-64.4159016102379,-70.1004235456156,NA,NA,0.497371853999965,0.469145774841309,6
46,-84.6048538795042,-7.00029492015955,NA,NA,0.502536335999963,0.402124643325806,6
47,-111.087009731509,85.7582885187671,NA,NA,0.644082881000031,0.368613719940186,6
48,-67.2021883842146,-60.5987598976642,NA,NA,0.480100300999965,0.435636043548584,6
49,-82.2705626215923,113.464450968735,-78.6901166452178,7.60662944748307,0.485801782999985,0.234573364257812,6
50,-86.9573101242021,-11.5419464258715,NA,NA,0.512280820000001,0.368614196777344,6
51,-64.7861146581324,0,NA,NA,0.614891521000004,0,6
52,-73.6111727447691,54.4415960238666,NA,NA,0.386545749999996,0,6
53,-78.6091289186582,0,NA,NA,0.598918211000026,0,6
54,-69.92283322352,0,NA,NA,0.531997504999978,0,6
55,-66.5799764307931,0,NA,NA,0.513725700999998,0,6
56,-56.2474289160704,0,NA,NA,0.386451961999995,0,6
57,-95.8336366816308,-65.0845471969332,NA,NA,0.443048312000059,0,6
58,-104.282511853549,0,NA,NA,0.46639711200001,0,6
59,-85.7746543201709,0,NA,NA,0.526316893000057,0,6
60,-79.4060692495252,0,NA,NA,0.427769801999972,0,6
61,-70.8140848491432,0,-77.4878252297371,-38.5011806047358,0.555817986999955,0,6
62,-99.001404579214,0,NA,NA,0.436570240999941,0,6
63,-70.974148208576,0,NA,NA,0.451737539999954,0,6
64,-82.2336377884963,0,NA,NA,0.426508736999921,0,6
65,-97.8051698576981,-99.7452337164943,NA,NA,0.397416643999918,0.368614196777344,6
66,-63.6116240437038,0,NA,NA,0.516872882000001,0,6
67,-67.075570421711,0,NA,NA,0.488112575000088,0,6
68,-55.6389517560595,-66.4369427714672,NA,NA,0.458029828000065,0.435634851455688,6
69,-71.624573383105,0,NA,NA,0.542541816999943,0,6
70,-92.9298521287377,-164.284100401482,NA,NA,0.54071779800006,0,6
71,-55.4506601979368,-42.8144697078888,NA,NA,0.493602783000028,0.234572887420654,6
72,-102.694225542464,-88.7334206594975,NA,NA,0.477114951999965,0.402124881744385,6
73,-57.6654443374228,152.62518615241,-79.6715314767341,9.1443408898446,0.558911557000044,0.469146013259888,6
74,-82.6668722745256,-176.73758013649,NA,NA,0.526847147999973,0.502655982971191,6
75,-84.5907948448835,-88.3823407875413,NA,NA,0.368811206000004,0.301593780517578,6
76,-79.3052878964473,32.0160991455165,NA,NA,0.443566553999915,0.402123928070068,6
77,-98.5232684794704,61.3978546851178,NA,NA,0.533371544999994,0.435635089874268,6
78,-83.5935383339147,124.121383431737,NA,NA,0.533291449000046,0.502655982971191,6
79,-63.2140251364625,4.69148818738527,NA,NA,0.469128917000035,0,6
80,-69.5033238137894,0,NA,NA,0.471213469999981,0,6
81,-77.8506720597938,0,NA,NA,0.575829370999969,0,6
82,-75.6066741351257,0,NA,NA,0.365607285999999,0,6
83,-93.5543132740475,0,NA,NA,0.399979765999944,0,6
84,-89.9841631349257,0,NA,NA,0.507722771000033,0,6
85,-94.258953685684,0,-79.7198695027502,0,0.470823273999969,0,6
86,-105.480576995826,0,NA,NA,0.541027126000017,0,6
87,-64.9026299272226,0,NA,NA,0.525047107000034,0,6
88,-96.9208457684653,0,NA,NA,0.52613533199991,0,6
89,-72.8349569780927,0,NA,NA,0.483319477000009,0,6
90,-90.1586694965135,0,NA,NA,0.517104431000007,0,6
91,-61.1547211450088,0,NA,NA,0.530151873000136,0,6
92,-78.5571145902979,0,NA,NA,0.529923710999924,0,6
93,-91.6162386374568,0,NA,NA,0.548895248000008,0,6
94,-59.1721386167114,0,NA,NA,0.487684790000003,0,6
95,-73.0432188841109,0,NA,NA,0.533609771999977,0,6
96,-68.5383693076136,0,NA,NA,0.619759631000022,0,6
97,-0.529553461429486,0,-74.5438529456144,-4.19234280099018,0.484225274999993,0,6
